"","ID","date","beepo","mood","arousal","valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather"
"132","1",2014-04-16,2,8,NA,NA,0.242797472157778,1232.69599986076,0,1,293.543,460.79,215.348,0,0,0,4.311,24.089,0,0,73.529,0
"133","1",2014-04-16,3,7,1,0,0.0925925925925925,3634.52799963951,0,0,100.648,990.936,34.141,0,0,0,16.237,380.115,0,0,29.178,0
"134","1",2014-04-16,4,7,1,1,0.0388888888888889,429.801999568939,0,0,34.208,381.556,0,0,0,0,0,14.053,0,0,0,0
"135","1",2014-04-16,5,7,1,NA,0.310748792270531,1181.7859992981,0,0,79.284,732.445,177.245,0,0,0,8.026,336.946,0,0,2.038,0
"136","1",2014-04-17,1,NA,NA,NA,0.0230108286252354,6746.33699965478,0,0,177.58,7809.034,50.167,0,0,0,7.014,873.881,0,0,6.103,0
"137","1",2014-04-17,2,6.5,-1.5,0.5,0.059620178346568,2820.96700024605,0,0,59.841,156.119,0,0,0,0,16.315,801.192,0,0,5.02,0
"138","1",2014-04-17,3,7,1,1,0.0783450841232042,1936.44500088692,0,0,60.107,2040.259,0,0,0,0,0,344.691,0,0,0,0
"139","1",2014-04-17,4,6,1,0,0.15406162464986,2248.10000014305,2,0,123.165,1675.928,0,0,0,0,21.307,43.77,0,0,0,0
"140","1",2014-04-17,5,7,-1,1,0.0758535037946801,966.89799976349,0,0,32.903,582.505,38.229,0,0,0,9.127,217.589,0,0,34.207,0
"141","1",2014-04-18,1,7,-1,1,0.00902777777777775,1232.83299994469,0,0,865.367,360.087,0,0,0,0,7.12,0,0,0,0,0
"142","1",2014-04-18,2,6.5,-1.5,0.5,0.0476190476190476,1337.69699978828,0,0,37.697,116.495,0,0,0,0,9.108,1013.554,0,0,0,0
"143","1",2014-04-18,3,7,0,1,0.369473627524119,3300.98600006103,1,0,604.677,2175.584,1.002,119.163,0,0,16.308,625.197,63.874,0,82.577,0
"144","1",2014-04-18,4,7,0,1,0.159245280032917,2744.61800003052,0,0,169.185,1545.656,773.352,0,0,0,9.232,0,0,0,0,0
"145","1",2014-04-18,5,NA,NA,NA,0.117216117216117,4869.30099987983,0,0,140.285,714.724,0,0,0,0,6.021,7.114,0,0,0,0
"146","1",2014-04-19,1,7,-1,1,0.0272193141758359,11048.2690002918,2,2,333.304,1209.067,343.037,10.606,0,0,6.015,1447.264,0,0,0,0
"147","1",2014-04-19,2,8,0,1,0.0420168067226891,463.353000164033,0,0,86.75,257.576,2.015,0,0,0,7.178,8.019,0,0,101.601,0
"148","1",2014-04-19,3,8,0,1,0.192090395480226,813.018000125885,1,0,308.307,168.394,0,0,29.084,0,6.016,0,128.89,0,172.028,0
"149","1",2014-04-19,4,8,0,1,0.255993922992926,899.457000255584,0,0,144.847,394.837,162.3,26.346,0,0,6.033,132.296,0,0,32.167,0
"150","1",2014-04-19,5,8,0,1,0.205550016616816,1836.48099994659,0,0,204.128,1011.809,304.959,69.283,0,0,6.24,239.104,0,0,0,0
"151","1",2014-04-20,1,NA,NA,NA,0.014465087381754,1590.90499997139,0,0,311.232,1305.549,123.981,0,0,0,10.029,0,0,0,22.065,0
"152","1",2014-04-20,2,8,-1,1,0.027027027027027,656.596999645233,0,0,99.783,340.645,0,0,0,0,0,216.042,0,0,0,0
"153","1",2014-04-20,3,7,0,0,0.279318582000419,950.004000425339,0,0,176.283,470.629,28.238,0,0,0,10.127,234.955,0,0,29.358,0
"154","1",2014-04-20,4,7,1,1,0.0893676014251237,866.811999559401,0,0,47.139,436.442,23.083,0,0,0,14.046,356.734,0,0,17.347,0
"155","1",2014-04-20,5,7,-1,1,0.120017636684303,2511.87000060082,0,0,131.503,2118.036,209.153,0,0,0,0,0,0,0,52.265,0
"156","1",2014-04-21,1,NA,NA,NA,0,1536.13899993896,1,0,282.304,927.19,29.499,0,0,0,7.19,428.972,0,0,40.585,0
"157","1",2014-04-21,2,8,-1,1,0.0612187110658058,332.278999805451,0,0,2463.991,171.44,0,0,0,0,6.205,0,0,0,0,0
"158","1",2014-04-21,3,7,0,1,0.348618932689729,1232.82699990273,1,0,450.718,603.189,45.381,33.266,0,0,10.26,0,68.278,0,21.068,0
"159","1",2014-04-21,4,8,0,1,0.328519050903621,227.408999681472,0,0,31.18,187.998,0,0,0,0,8.027,0,0,0,0,0
"160","1",2014-04-21,5,8,0,1,0.0779717770868213,779.723999977111,0,0,341.353,259.413,0,0,0,0,26.367,0,0,0,152.244,0
"161","1",2014-04-22,1,8,0,1,0.0565836221494248,6043.19899964332,0,0,1534.744,3263.457,239.254,18.27,0,0,13.26,978.209,0,0,105.541,0
"162","1",2014-04-22,2,7,1,1,0.196095684650672,3450.49300050735,0,0,254.89,2584.558,255.32,20.183,0,0,14.257,0,0,0,170.833,0
"163","1",2014-04-22,3,7,1,1,0.164935064935065,1461.60099935532,0,0,194.341,941.541,302.597,0,0,0,20.337,74.332,0,0,0,0
"164","1",2014-04-22,4,8,-1,1,0.123132586367881,3296.39900040627,1,0,132.413,2662.487,109.999,0,0,0,0,313.873,0,0,75.371,0
"165","1",2014-04-22,5,7,0,1,0.0503623188405796,2057.65499925613,1,0,254.403,2017.998,193.847,0,0,0,15.306,56.134,0,0,68.455,0
"166","1",2014-04-23,1,NA,NA,NA,0.0111115933976897,8266.07000088692,1,0,1295.533,4985.906,507.109,0,0,0,9.097,376.284,0,0,395.553,0
"167","1",2014-04-23,2,7,0.5,1,0.0511221280116244,1233.53199934959,0,0,193.604,938.845,0,18.051,0,0,18.115,64.232,0,0,0,0
"168","1",2014-04-23,3,8,0,1,0.106859752447988,2189.12600016594,0,0,17.165,2021.72,0,0,0,0,0,29.136,0,0,0,0
"169","1",2014-04-23,4,8,-1,1,0.0168549905838042,1143.70699954033,0,0,212.144,1174.27,138.751,0,0,0,8.024,85.845,0,0,6.027,0
"170","1",2014-04-23,5,8,1,1,0.136952644305586,613.8649995327,0,0,57.629,485.284,0,0,0,0,7.162,100.262,0,0,0,0
"171","1",2014-04-24,1,NA,NA,NA,0.0191753902523208,12311.705000639,0,0,412.776,2993.892,2575.962,0,0,0,9.249,2292.61,51.184,0,346.671,0
"172","1",2014-04-24,2,7.5,-0.5,1,0.0531145717463849,5303.64200019837,0,0,28.317,498.617,1616.531,0,0,0,9.058,0,0,0,0,0
"173","1",2014-04-24,3,8,0,1,0.0558823529411763,1447.24400043488,0,0,32.292,2647.631,29.25,0,0,0,6.014,311.241,0,0,0,0
"174","1",2014-04-24,4,7,-1,1,0.0391492494433671,1531.30299925804,0,0,20.108,1371.687,0,0,0,0,0,250.716,0,0,0,0
